name,id,imageId,valueWinter,valueSummer,mixProperties,badMixProperties,triggeredEvents,notes
sherry,sherry,mods-fortified,3,2,dark,,raval,
vermouth,vermouth,mods-fortified,4,3,spice,,,
melon liqueur,melon-liqueur,mods-liqueur,2,7,trop,"meat, coffee,veg",,
triple sec,triple-sec,mods-liqueur,5,5,citrus2,"meat, veg",,
butter ripple schnapps,butter-ripple-schnapps,mods-liqueur,5,3,candy,"meat,veg",,
banana liqueur,banana-liqueur,mods-liqueur,2,5,trop,"meat,veg",,
peach schnapps,peach-schnapps,mods-liqueur,3,6,orch,"meat, coffee,veg",,
irish cream,irish-cream,mods-cream,4,4,cream,"citrus, ,citrus2, meat, veg",,
amaretto,amaretto,mods-cream,4,5,nut,"meat,veg",,
coffee liqueur,coffee-liqueur,mods-liqueur,4,4,coffee,"orch, veg, meat, herb, salt",,
elderflower liqueur,elderflower-liqueur,mods-liqueur,2,4,trop,"meat,veg",basic,
orgeat,orgeat,mods-liqueur,5,5,nut,"meat,veg",allergy,
apricot liquer,apricot-liquer,mods-liqueur,3,6,orch,"meat, coffee,veg",,
red bitter aperitif,red-bitter-aperitif,mods-liqueur,5,3,spice,"meat,veg",spritz,
falernum,falernum,mods-liqueur,4,6,"spice, nut","meat,veg",allergy2,
none,none,none,4,4,,,,
