name,id,imageId,valueWinter,valueSummer,mixProperties,badMixProperties,triggeredEvents,notes
vodka,vodka,spirits-white,3,5,white,,"vodka,",
gin,gin,spirits-white,3,5,white,,,
rye,rye,spirits-dark,7,2,dark,,,
rum,rum,spirits-white,5,7,white,,,
tequila,tequila,spirits-white,4,7,white,,,
bourbon,bourbon,spirits-dark,4,4,dark,,,
cognac,cognac,spirits-dark,6,3,dark,,phylloxera,
mezcal,mezcal,spirits-white,5,5,white,,,
scotch,scotch,spirits-dark,7,1,dark,,,
spiced rum,spiced rum,spirits-spice,4,6,spice,,,
akvavit,akvavit,spirits-spice,4,4,spice,,,
grappa,grappa,spirits-white,3,5,white,,grappa,
applejack,applejack,spirits-dark,6,5,dark,,,
sloe gin,sloe gin,spirits-dark,6,4,dark,,,
baijiu,baijiu,spirits-white,1,1,white,,"baijiu,",
pisco,pisco,spirits-white,4,7,white,,,
