eventId,character,says,expression,bodyExpression
george-intro,jerry,Yeah?,neutral,arms-down
george-intro,george,It's George,neutral,arms-down
george-intro,jerry,Come on up,neutral,arms-down
george-intro1,george,"Jerry, i’m doing it, i’m making new friends",happy,arms-up
george-intro1,jerry,...and yet here you are... in my apartment,sarcastic,arms-left
george-intro1,george,"You know, it’s not easy coming out of a pandemic and meeting new people. ",neutral,arms-down
george-intro1,jerry,Who’s the lucky guy?,neutral,arms-down
george-intro1,george,...so i’m just walking down Houston street and this guy flashes me a friendly wave and just sparks up conversation. ,happy,arms-right
george-intro1,jerry,...completely normal thing for a stranger to do.,sarcastic,arms-down
george-intro1,george,He just wanted to share some information. He chairs a group for guys like us.,happy,arms-up
george-intro1,george,WE'RE BALD AND SICK OF HOW THE MEDIA PORTRAYS US!,angry,arms-right
george-intro1,jerry,"Yah George, “The Rock” has it really hard these days",sarcastic,arms-down
george-intro1,george,"That's different! They get together every week. I’m joining a community Jerry, they're called the Proud Balds!",happy,arms-down
elaine-intro,jerry,That's probably Elaine,neutral,arms-down
elaine-intro,elaine,It's me,neutral,arms-down
elaine-intro,george,It's her,neutral,arms-down
elaine-intro2,elaine,I’m over it! ,angry,arms-up
elaine-intro2,george,...over what?,neutral,arms-down
elaine-intro2,elaine,"There’s not a decent guy left in New York, every bozo in this city settled during the pandemic",angry,arms-down
elaine-intro2,george,..oh..,neutral,arms-down
elaine-intro2,jerry,George made a new friend,neutral,arms-down
elaine-intro2,elaine,"Good for you, George...but what about me!",neutral,arms-down
elaine-intro2,jerry,Why don’t you try the guys on one of these dating apps?,neutral,arms-left
elaine-intro2,elaine,You think I haven’t? They're all trump supporters and anti-vaxxers. It's just Parler with unsolicited dick pics,angry,arms-up
elaine-intro2,george,My friend Karl is single,neutral,arms-down
elaine-intro2,elaine,Who’s Karl?,sarcastic,arms-down
kramer-intro,kramer,"Hey, Jerry. Do have a big bag or satchel. Something that can hold a lot of stuff... you know?",neutral,arms-right
kramer-intro,george,"Hi, Kramer!",happy,arms-down
kramer-intro,kramer,..yah.. about that bag?,neutral,arms-down
kramer-intro,jerry,What do you need it for?  I probably have something laying around,neutral,arms-right
kramer-intro,kramer,"Well, you know, Newman’s been overloaded with his mail deliveries.  Everyone ordering online and all. So I’m helping him out!",happy,arms-down
kramer-intro,elaine,"Don’t they pay people for that, why do you need to help him?",neutral,arms-down
kramer-intro,kramer,"Well, this city is being overrun with private delivery services, they’ve lost their respect for the noble postman.",angry,arms-up
